Date,Year,Month,Product_Code,Daily_Net_Demand,Positive_Demand,Negative_Adjustment,Order_Records
2014-05-09,2014,2014-05,Product_1248,126000,126000,0,5
2014-05-09,2014,2014-05,Product_1359,504000,504000,0,10
2014-05-12,2014,2014-05,Product_1248,285000,285000,0,7
2014-05-12,2014,2014-05,Product_1359,761000,761000,0,25
2014-05-13,2014,2014-05,Product_1248,930000,930000,0,5
2014-05-13,2014,2014-05,Product_1359,444000,444000,0,17
2014-05-14,2014,2014-05,Product_1248,122000,122000,0,4
2014-05-14,2014,2014-05,Product_1359,452000,452000,0,15
2014-05-15,2014,2014-05,Product_1248,15000,15000,0,4
2014-05-15,2014,2014-05,Product_1359,269000,274000,5000,10
2014-05-16,2014,2014-05,Product_1248,1000,1000,0,1
2014-05-16,2014,2014-05,Product_1359,635000,635000,0,16
2014-05-19,2014,2014-05,Product_1248,608000,608000,0,4
2014-05-19,2014,2014-05,Product_1359,1134000,1134000,0,16
2014-05-20,2014,2014-05,Product_1248,1950000,1950000,0,8
2014-05-20,2014,2014-05,Product_1359,959000,959000,0,11
2014-05-21,2014,2014-05,Product_1248,555000,555000,0,7
2014-05-21,2014,2014-05,Product_1359,237000,237000,0,14
2014-05-22,2014,2014-05,Product_1248,204000,204000,0,3
2014-05-22,2014,2014-05,Product_1359,195000,195000,0,8
2014-05-23,2014,2014-05,Product_1248,67000,67000,0,5
2014-05-23,2014,2014-05,Product_1359,400000,400000,0,17
2014-05-26,2014,2014-05,Product_1248,153000,153000,0,3
2014-05-26,2014,2014-05,Product_1359,275000,275000,0,14
2014-05-27,2014,2014-05,Product_1248,327000,327000,0,5
2014-05-27,2014,2014-05,Product_1359,365000,365000,0,11
2014-05-28,2014,2014-05,Product_1248,274000,274000,0,6
2014-05-28,2014,2014-05,Product_1359,206000,206000,0,11
2014-05-29,2014,2014-05,Product_1248,40000,40000,0,1
2014-05-29,2014,2014-05,Product_1359,142000,142000,0,10
2014-05-30,2014,2014-05,Product_1248,514000,514000,0,6
2014-05-30,2014,2014-05,Product_1359,354000,354000,0,14
2014-06-02,2014,2014-06,Product_1248,105000,105000,0,10
2014-06-02,2014,2014-06,Product_1359,327000,327000,0,21
2014-06-03,2014,2014-06,Product_1248,63000,63000,0,3
2014-06-03,2014,2014-06,Product_1359,339000,339000,0,12
2014-06-04,2014,2014-06,Product_1248,798000,798000,0,8
2014-06-04,2014,2014-06,Product_1359,572000,572000,0,11
2014-06-05,2014,2014-06,Product_1248,500000,500000,0,1
2014-06-05,2014,2014-06,Product_1359,328000,328000,0,10
2014-06-06,2014,2014-06,Product_1248,162000,162000,0,5
2014-06-06,2014,2014-06,Product_1359,160000,160000,0,10
2014-06-09,2014,2014-06,Product_1248,110000,110000,0,2
2014-06-09,2014,2014-06,Product_1359,69000,69000,0,11
2014-06-10,2014,2014-06,Product_1248,120000,120000,0,4
2014-06-10,2014,2014-06,Product_1359,144000,144000,0,11
2014-06-11,2014,2014-06,Product_1248,65000,65000,0,2
2014-06-11,2014,2014-06,Product_1359,296000,296000,0,13
2014-06-12,2014,2014-06,Product_1248,165000,165000,0,4
2014-06-12,2014,2014-06,Product_1359,83000,83000,0,9
2014-06-13,2014,2014-06,Product_1248,116000,116000,0,7
2014-06-13,2014,2014-06,Product_1359,200000,200000,0,12
2014-06-16,2014,2014-06,Product_1248,102000,102000,0,9
2014-06-16,2014,2014-06,Product_1359,292000,292000,0,14
2014-06-17,2014,2014-06,Product_1248,115000,115000,0,5
2014-06-17,2014,2014-06,Product_1359,359000,359000,0,13
2014-06-18,2014,2014-06,Product_1248,111000,111000,0,6
2014-06-18,2014,2014-06,Product_1359,165000,165000,0,13
2014-06-19,2014,2014-06,Product_1248,252000,252000,0,2
2014-06-19,2014,2014-06,Product_1359,67000,67000,0,11
2014-06-20,2014,2014-06,Product_1248,962000,962000,0,5
2014-06-20,2014,2014-06,Product_1359,420000,420000,0,16
2014-06-23,2014,2014-06,Product_1248,82000,82000,0,7
2014-06-23,2014,2014-06,Product_1359,638000,638000,0,15
2014-06-24,2014,2014-06,Product_1248,506000,506000,0,6
2014-06-24,2014,2014-06,Product_1359,299000,299000,0,16
2014-06-25,2014,2014-06,Product_1248,36000,36000,0,4
2014-06-25,2014,2014-06,Product_1359,855000,855000,0,15
2014-06-26,2014,2014-06,Product_1248,75000,75000,0,3
2014-06-26,2014,2014-06,Product_1359,829000,829000,0,11
2014-06-27,2014,2014-06,Product_1248,124000,124000,0,6
2014-06-27,2014,2014-06,Product_1359,119000,119000,0,8
2014-06-29,2014,2014-06,Product_1359,25000,25000,0,1
2014-06-30,2014,2014-06,Product_1248,53000,53000,0,2
2014-06-30,2014,2014-06,Product_1359,469000,469000,0,18
2014-07-01,2014,2014-07,Product_1248,110000,110000,0,5
2014-07-01,2014,2014-07,Product_1359,457000,457000,0,21
2014-07-02,2014,2014-07,Product_1248,428000,428000,0,8
2014-07-02,2014,2014-07,Product_1359,374000,374000,0,18
2014-07-03,2014,2014-07,Product_1248,130000,130000,0,7
2014-07-03,2014,2014-07,Product_1359,206000,206000,0,14
2014-07-04,2014,2014-07,Product_1248,141000,141000,0,4
2014-07-04,2014,2014-07,Product_1359,341000,341000,0,10
2014-07-07,2014,2014-07,Product_1248,1100000,1100000,0,2
2014-07-07,2014,2014-07,Product_1359,360000,360000,0,17
2014-07-08,2014,2014-07,Product_1248,30000,30000,0,2
2014-07-08,2014,2014-07,Product_1359,98000,98000,0,9
2014-07-09,2014,2014-07,Product_1248,121000,121000,0,10
2014-07-09,2014,2014-07,Product_1359,108000,108000,0,15
2014-07-10,2014,2014-07,Product_1248,404000,404000,0,9
2014-07-10,2014,2014-07,Product_1359,164000,164000,0,13
2014-07-11,2014,2014-07,Product_1248,55000,55000,0,3
2014-07-11,2014,2014-07,Product_1359,88000,88000,0,10
2014-07-14,2014,2014-07,Product_1248,255000,255000,0,7
2014-07-14,2014,2014-07,Product_1359,433000,433000,0,14
2014-07-15,2014,2014-07,Product_1248,24000,24000,0,3
2014-07-15,2014,2014-07,Product_1359,1000000,1000000,0,15
2014-07-16,2014,2014-07,Product_1248,352000,352000,0,6
2014-07-16,2014,2014-07,Product_1359,698000,698000,0,15
2014-07-17,2014,2014-07,Product_1248,240000,240000,0,4
2014-07-17,2014,2014-07,Product_1359,289000,289000,0,11
2014-07-18,2014,2014-07,Product_1248,140000,140000,0,7
2014-07-18,2014,2014-07,Product_1359,173000,173000,0,13
2014-07-22,2014,2014-07,Product_1248,145000,145000,0,13
2014-07-22,2014,2014-07,Product_1359,1057000,1057000,0,24
2014-07-23,2014,2014-07,Product_1248,14000,14000,0,3
2014-07-23,2014,2014-07,Product_1359,443000,443000,0,17
2014-07-24,2014,2014-07,Product_1248,62000,62000,0,4
2014-07-24,2014,2014-07,Product_1359,428000,428000,0,12
2014-07-25,2014,2014-07,Product_1248,115000,115000,0,6
2014-07-25,2014,2014-07,Product_1359,177000,177000,0,13
2014-07-28,2014,2014-07,Product_1248,387000,387000,0,7
2014-07-28,2014,2014-07,Product_1359,281000,281000,0,11
2014-07-29,2014,2014-07,Product_1248,85000,85000,0,5
2014-07-29,2014,2014-07,Product_1359,794000,794000,0,20
2014-07-30,2014,2014-07,Product_1248,459000,459000,0,9
2014-07-30,2014,2014-07,Product_1359,515000,515000,0,14
2014-07-31,2014,2014-07,Product_1248,24000,24000,0,2
2014-07-31,2014,2014-07,Product_1359,538000,538000,0,10
2014-08-01,2014,2014-08,Product_1248,331000,331000,0,6
2014-08-01,2014,2014-08,Product_1359,786000,786000,0,20
2014-08-04,2014,2014-08,Product_1248,15000,15000,0,2
2014-08-04,2014,2014-08,Product_1359,695000,695000,0,14
2014-08-05,2014,2014-08,Product_1248,3000,3000,0,2
2014-08-05,2014,2014-08,Product_1359,334000,334000,0,18
2014-08-06,2014,2014-08,Product_1248,116000,116000,0,8
2014-08-06,2014,2014-08,Product_1359,321000,321000,0,17
2014-08-07,2014,2014-08,Product_1248,54000,54000,0,6
2014-08-07,2014,2014-08,Product_1359,303000,303000,0,8
2014-08-08,2014,2014-08,Product_1248,24000,24000,0,3
2014-08-08,2014,2014-08,Product_1359,83000,83000,0,8
2014-08-11,2014,2014-08,Product_1248,52000,52000,0,2
2014-08-11,2014,2014-08,Product_1359,5000,5000,0,1
2014-08-12,2014,2014-08,Product_1248,7000,7000,0,2
2014-08-12,2014,2014-08,Product_1359,2000,2000,0,1
2014-08-13,2014,2014-08,Product_1359,6000,6000,0,2
2014-08-15,2014,2014-08,Product_1248,67000,67000,0,5
2014-08-15,2014,2014-08,Product_1359,196000,196000,0,10
2014-08-18,2014,2014-08,Product_1248,151000,151000,0,5
2014-08-18,2014,2014-08,Product_1359,138000,138000,0,14
2014-08-19,2014,2014-08,Product_1248,224000,224000,0,5
2014-08-19,2014,2014-08,Product_1359,385000,385000,0,19
2014-08-20,2014,2014-08,Product_1248,109000,109000,0,5
2014-08-20,2014,2014-08,Product_1359,244000,244000,0,16
2014-08-21,2014,2014-08,Product_1248,117000,117000,0,9
2014-08-21,2014,2014-08,Product_1359,267000,267000,0,15
2014-08-22,2014,2014-08,Product_1248,168000,168000,0,8
2014-08-22,2014,2014-08,Product_1359,95000,95000,0,10
2014-08-25,2014,2014-08,Product_1248,109000,109000,0,4
2014-08-25,2014,2014-08,Product_1359,288000,288000,0,21
2014-08-26,2014,2014-08,Product_1248,362000,362000,0,4
2014-08-26,2014,2014-08,Product_1359,799000,799000,0,13
2014-08-27,2014,2014-08,Product_1248,3000,3000,0,2
2014-08-27,2014,2014-08,Product_1359,217000,217000,0,16
2014-08-28,2014,2014-08,Product_1248,18000,18000,0,2
2014-08-28,2014,2014-08,Product_1359,89000,89000,0,13
2014-08-29,2014,2014-08,Product_1248,277000,277000,0,5
2014-08-29,2014,2014-08,Product_1359,510000,510000,0,15
2014-09-01,2014,2014-09,Product_1248,123000,123000,0,5
2014-09-01,2014,2014-09,Product_1359,407000,407000,0,14
2014-09-02,2014,2014-09,Product_1248,384000,384000,0,4
2014-09-02,2014,2014-09,Product_1359,1609000,1609000,0,20
2014-09-03,2014,2014-09,Product_1248,33000,33000,0,6
2014-09-03,2014,2014-09,Product_1359,130000,130000,0,12
2014-09-04,2014,2014-09,Product_1248,60000,60000,0,3
2014-09-04,2014,2014-09,Product_1359,492000,492000,0,12
2014-09-05,2014,2014-09,Product_1248,248000,248000,0,4
2014-09-05,2014,2014-09,Product_1359,212000,212000,0,11
2014-09-08,2014,2014-09,Product_1248,190000,190000,0,5
2014-09-08,2014,2014-09,Product_1359,232000,232000,0,15
2014-09-09,2014,2014-09,Product_1248,557000,557000,0,10
2014-09-09,2014,2014-09,Product_1359,167000,167000,0,18
2014-09-10,2014,2014-09,Product_1248,265000,265000,0,7
2014-09-10,2014,2014-09,Product_1359,281000,281000,0,12
2014-09-11,2014,2014-09,Product_1248,130000,130000,0,8
2014-09-11,2014,2014-09,Product_1359,89000,89000,0,10
2014-09-12,2014,2014-09,Product_1248,282000,282000,0,4
2014-09-12,2014,2014-09,Product_1359,269000,269000,0,11
2014-09-16,2014,2014-09,Product_1248,58000,58000,0,2
2014-09-16,2014,2014-09,Product_1359,314000,314000,0,19
2014-09-17,2014,2014-09,Product_1248,85000,85000,0,4
2014-09-17,2014,2014-09,Product_1359,1353000,1353000,0,16
2014-09-18,2014,2014-09,Product_1248,1105000,1105000,0,6
2014-09-18,2014,2014-09,Product_1359,194000,194000,0,9
2014-09-19,2014,2014-09,Product_1248,29000,29000,0,5
2014-09-19,2014,2014-09,Product_1359,361000,361000,0,12
2014-09-22,2014,2014-09,Product_1248,239000,239000,0,9
2014-09-22,2014,2014-09,Product_1359,312000,312000,0,22
2014-09-24,2014,2014-09,Product_1248,470000,470000,0,5
2014-09-24,2014,2014-09,Product_1359,218000,218000,0,18
2014-09-25,2014,2014-09,Product_1248,234000,234000,0,5
2014-09-25,2014,2014-09,Product_1359,149000,149000,0,12
2014-09-26,2014,2014-09,Product_1248,579000,579000,0,8
2014-09-26,2014,2014-09,Product_1359,179000,179000,0,15
2014-09-29,2014,2014-09,Product_1248,120000,120000,0,2
2014-09-29,2014,2014-09,Product_1359,257000,257000,0,12
2014-09-30,2014,2014-09,Product_1248,122000,122000,0,4
2014-09-30,2014,2014-09,Product_1359,613000,613000,0,20
2014-10-01,2014,2014-10,Product_1248,517000,517000,0,13
2014-10-01,2014,2014-10,Product_1359,443000,443000,0,21
2014-10-02,2014,2014-10,Product_1248,300000,300000,0,7
2014-10-02,2014,2014-10,Product_1359,309000,309000,0,11
2014-10-03,2014,2014-10,Product_1248,95000,95000,0,7
2014-10-03,2014,2014-10,Product_1359,459000,459000,0,18
2014-10-06,2014,2014-10,Product_1248,363000,363000,0,3
2014-10-06,2014,2014-10,Product_1359,409000,409000,0,18
2014-10-07,2014,2014-10,Product_1248,465000,465000,0,5
2014-10-07,2014,2014-10,Product_1359,560000,560000,0,15
2014-10-08,2014,2014-10,Product_1248,10000,10000,0,2
2014-10-08,2014,2014-10,Product_1359,1109000,1109000,0,12
2014-10-09,2014,2014-10,Product_1248,24000,24000,0,5
2014-10-09,2014,2014-10,Product_1359,207000,207000,0,16
2014-10-10,2014,2014-10,Product_1248,26000,26000,0,5
2014-10-10,2014,2014-10,Product_1359,152000,152000,0,9
2014-10-14,2014,2014-10,Product_1248,104000,104000,0,7
2014-10-14,2014,2014-10,Product_1359,428000,428000,0,18
2014-10-15,2014,2014-10,Product_1248,574000,574000,0,6
2014-10-15,2014,2014-10,Product_1359,858000,858000,0,15
2014-10-16,2014,2014-10,Product_1248,384000,384000,0,6
2014-10-16,2014,2014-10,Product_1359,78000,78000,0,10
2014-10-17,2014,2014-10,Product_1248,51000,51000,0,2
2014-10-17,2014,2014-10,Product_1359,273000,273000,0,17
2014-10-20,2014,2014-10,Product_1248,182000,182000,0,8
2014-10-20,2014,2014-10,Product_1359,241000,241000,0,9
2014-10-21,2014,2014-10,Product_1248,173000,173000,0,9
2014-10-21,2014,2014-10,Product_1359,313000,313000,0,18
2014-10-22,2014,2014-10,Product_1248,8000,8000,0,2
2014-10-22,2014,2014-10,Product_1359,734000,734000,0,15
2014-10-23,2014,2014-10,Product_1248,131000,131000,0,4
2014-10-23,2014,2014-10,Product_1359,486000,486000,0,23
2014-10-24,2014,2014-10,Product_1248,27000,27000,0,5
2014-10-24,2014,2014-10,Product_1359,888000,888000,0,20
2014-10-27,2014,2014-10,Product_1248,1185000,1185000,0,7
2014-10-27,2014,2014-10,Product_1359,324000,324000,0,15
2014-10-28,2014,2014-10,Product_1248,69000,69000,0,5
2014-10-28,2014,2014-10,Product_1359,608000,608000,0,21
2014-10-29,2014,2014-10,Product_1248,113000,113000,0,6
2014-10-29,2014,2014-10,Product_1359,613000,613000,0,9
2014-10-30,2014,2014-10,Product_1248,37000,37000,0,3
2014-10-30,2014,2014-10,Product_1359,110000,110000,0,11
2014-10-31,2014,2014-10,Product_1248,200000,200000,0,6
2014-10-31,2014,2014-10,Product_1359,148000,148000,0,11
2014-11-04,2014,2014-11,Product_1248,107000,107000,0,8
2014-11-04,2014,2014-11,Product_1359,968000,968000,0,22
2014-11-05,2014,2014-11,Product_1248,131000,131000,0,5
2014-11-05,2014,2014-11,Product_1359,367000,367000,0,15
2014-11-06,2014,2014-11,Product_1248,155000,155000,0,4
2014-11-06,2014,2014-11,Product_1359,434000,434000,0,11
2014-11-07,2014,2014-11,Product_1248,24000,24000,0,2
2014-11-07,2014,2014-11,Product_1359,289000,289000,0,20
2014-11-10,2014,2014-11,Product_1248,15000,15000,0,2
2014-11-10,2014,2014-11,Product_1359,287000,287000,0,19
2014-11-11,2014,2014-11,Product_1248,15000,15000,0,1
2014-11-11,2014,2014-11,Product_1359,277000,277000,0,12
2014-11-12,2014,2014-11,Product_1248,190000,190000,0,5
2014-11-12,2014,2014-11,Product_1359,354000,354000,0,12
2014-11-13,2014,2014-11,Product_1248,182000,182000,0,6
2014-11-13,2014,2014-11,Product_1359,711000,711000,0,8
2014-11-14,2014,2014-11,Product_1248,234000,234000,0,8
2014-11-14,2014,2014-11,Product_1359,273000,273000,0,18
2014-11-17,2014,2014-11,Product_1248,70000,70000,0,10
2014-11-17,2014,2014-11,Product_1359,130000,130000,0,11
2014-11-18,2014,2014-11,Product_1248,200000,200000,0,1
2014-11-18,2014,2014-11,Product_1359,814000,814000,0,17
2014-11-19,2014,2014-11,Product_1248,85000,85000,0,4
2014-11-19,2014,2014-11,Product_1359,322000,322000,0,12
2014-11-20,2014,2014-11,Product_1248,57000,57000,0,4
2014-11-20,2014,2014-11,Product_1359,713000,713000,0,16
2014-11-21,2014,2014-11,Product_1248,385000,385000,0,10
2014-11-21,2014,2014-11,Product_1359,231000,231000,0,18
2014-11-25,2014,2014-11,Product_1248,606000,606000,0,4
2014-11-25,2014,2014-11,Product_1359,975000,975000,0,22
2014-11-26,2014,2014-11,Product_1248,369000,369000,0,7
2014-11-26,2014,2014-11,Product_1359,640000,640000,0,21
2014-11-27,2014,2014-11,Product_1248,64000,64000,0,4
2014-11-27,2014,2014-11,Product_1359,205000,205000,0,14
2014-11-28,2014,2014-11,Product_1248,68000,68000,0,7
2014-11-28,2014,2014-11,Product_1359,316000,316000,0,17
2014-12-01,2014,2014-12,Product_1248,73000,73000,0,5
2014-12-01,2014,2014-12,Product_1359,337000,337000,0,19
2014-12-02,2014,2014-12,Product_1248,80000,80000,0,4
2014-12-02,2014,2014-12,Product_1359,161000,161000,0,11
